Position,Company_Name,Location,Post_Month,Post_Year,Details
Software Engineer - Simulation,InstaDeep Ltd,"Tunis, Tunisia",May,2022,"ABOUT INSTADEEP
InstaDeep Ltd is a leading company that develops cutting-edge artificial intelligence products and solutions for major global and local clients in Europe, the US, Africa, and the Middle East. We focus on developing enterprise decision making systems that solve existing problems across a range of industries using advanced machine learning, reinforcement learning, and deep learning. Our expertise spans across research, product and solution development, allowing the whole end-to-end solution to be developed in-house across our teams in London, Paris, Lagos, Cape Town, Dubai, and Tunis.

Our proactive approach to research, combined with a broad spectrum of high-quality clients, ensures a challenging and exciting environment to work and thrive in. In our mission to stay ahead of the curve, we are proud to partner with firms such as Google DeepMind, Nvidia and Intel, world-class universities such as Oxford, Imperial College and French Universities, and immunotherapy powerhouse BioNTech.
InstaDeep is looking for a Software Engineer to join our expanding team in Tunis.
JOB DESCRIPTION
Your job is to design and develop InstaDeep in-house simulation platform and tools. By doing so, you will enable our research and engineering teams to deliver new products, services and research breakthroughs that were previously out of reach. You will work with researchers to understand their needs and explore potential solutions, implementing what’s needed to achieve higher computational performance.

Responsibilities
Designing and developing our in-house simulation libraries
Implementing various approaches for high-performance and distributed computing
Cover solutions with the needed unit and integration tests
Write high-quality, maintainable and modular software libraries
Work side by side with our researchers and engineers
Qualifications and Experience
Degree in computer science or equivalent
Creative problem solving, starting from first principles
Strong knowledge in OOP, SOLID principles and design patterns
Strong knowledge in algorithmic thinking and data structures
Cross-functional ability to experiment, simulate and analyze data
Ensuring high quality deliverables with extensive testing from Unit Tests to E2E tests
Experience with profiling tools (GPU, CPU, Memory, Garbage Collection)
Strong communication skills

Nice to Have
Strong knowledge in modern C++ (C++17, C++20) or strong willingness to learn
Basic knowledge on machine learning and reinforcement learning
Experience in contributing, maintaining and/or building open source projects
Experience in parallel and high performance computing
Experience in TDD, BDD and/or DDD is a plus

BENEFITS:
Competitive salary.
Working in small, diverse teams where you can make an impact.
Varied challenges across industries.
Flexible working hours."
"Associate Software Engineer, Trilogy (Remote) - $60,000/year USD",Crossover for Work,"Tunis, Tunisia",May,2022,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Are you a recent computer science graduate looking for an entry-level role that will allow you to supercharge your career? Join Trilogy’s two-year software engineering fellowship!

This is an exciting opportunity for new graduates to tackle the most pressing problems in the software industry, create innovative solutions for customers, and interact with senior executives. Unlike a lot of jobs, when we say entry-level, we mean it. No work experience required.

Perform breakthrough experiments utilizing the full power of cloud services, AI, and ML to tackle high-level business challenges. Work with a top-notch team. Receive regular training and feedback. And join an elite class of alumni who have launched careers as entrepreneurs, leaders, and influencers.

It won't be easy, but there will never be a dull moment. Join us to jumpstart your career with the world’s top software engineers.

What You Will Be Doing
Exploring a new business problem every 6-8 weeks
Conducting research and interviewing stakeholders to understand the problem
Running weekly experiments – write code, review outcomes, debug, log learnings, and iterate
Delivering prototypes and deployments to customers
What You Won’t Be Doing
Doing repetitive tasks - no two problems are the same
Getting it right all the time - frequent feedback will enable you to fail fast and learn quickly
Working solo - work as part of a small team to tackle challenges
Associate Software Engineer Key Responsibilities

Create clear, simple, technically-superior solutions to complicated problems

Basic Requirements
Computer Science degree
Excellent coding ability
Proven problem-solving skills
Ability to communicate clearly
About Trilogy

Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:
You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.
Important! If you do not receive an email from us:
First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/reset-password if you already applied using LinkedIn EasyApply.
Crossover Job Code: LJ-4513-TN-Tunis-AssociateSoftw"
Senior Data Scientist - Tunis,Jumia Group,"Tunis, Tunis, Tunisia",May,2022,"About Jumia:

Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia's mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.

Our platforms consist of our marketplace, which connects sellers with consumers, our logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our payment service, which facilitates transactions among participants active on our platform in selected markets. Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.

On the Data science part, Jumia is heavily accelerating. With tons of data already gathered and usable, our intent is really to spread its use to be everyday more data-driven.

We are looking for talented people with a passion for Africa to join our team and embark on our exciting journey!

What's this job all about?

A key element to help Jumia grow is to use an unprecedented amount of data available to make smart decisions.

Data Science team is an agile and international team spread across different countries. Data Scientists are working closely with Big Data engineers, business stakeholders and Product owners. Data Science team is involved in various projects (to name a few) -
Delivery route optimisation
Product image similarity
Product/Restaurant recommendations
User segmentations
User search queries segmentation
Fraud detection
Loan default prediction

To take us to the next level, we are looking for a proactive Data Scientist with hands-on experience with either of the said areas.

The ideal candidate would be able to design and implement data science models to find patterns in the data and understand the quality of it. Also, what we would expect from is to be proactive and pragmatic in order to deliver more data driven value.

Main Responsibilities
Being responsible for one of our data science projects.
Mentor junior data scientists involved in the project.
Develop end-to-end understanding of business.
Owns business KPIs attached to the project.
Evaluate models and fine tune model parameters considering the business problem behind. - Designing, implementing, and analyzing AB tests.
Be able to work autonomously on complex projects proposing innovative solutions where appropriate.
Working closely with data / bigData engineers to deploy the models into production and ensure scalability.

Requirements
PhD or Master degree (with 4+ years of experience) in data science or similar field - Very comfortable using pandas, numpy, scikit-learn, xgboost and matplotlib
Experience in one or more programming languages (Python, R, etc.)
Advanced SQL
Knowledge of applied statistics (fit regression curves, build predictive models, statistical significance)
Experience with A/B testing
Good communication skills
Nice to have: experience in NLP, Deep Learning related libs (e.g. TensorFlow, Keras, PyTorch), PySpark, Solver

We Offer
A unique experience in an entrepreneurial, yet structured environment
A unique opportunity of having strong impact in building the African ecommerce sector
The opportunity to become part of a highly professional and dynamic team
An unparalleled personal and professional growth as our longer-term objective is to train the next generation of leaders"
Analyste des données PowerBI,ADP,"Tunis, Tunis, Tunisia",April,2022,"Power BI Skills
Design, develop, implement, and support compelling data visualization solutions in Power BI that tell a story
Creation and automation of Enterprise Scale dashboards and reports, scorecards, and ad-hoc reports
Create customized and interactive Power BI dashboards and reports using multiple data sources
Experience with advanced Power BI topics such as calculated tables, complex measures, customized visualizations, insights, table calculations, DAX language and performance optimization
Experience in working with Version: 2.81.5831.1181 64-bit (mai 2020) and later versions.
Experience in sharing Power Bi reports and dashboards on Power Bi servers
Knowledge on Power BI Prep - Create flows, Data Mining and Structuring of Data
Working knowledge of Power BI administration including monitoring capacity management, performance optimization reporting and security
Experience in executing various Power BI administration activities
Organizational Context
This role will be part of the finance local team , and report to the finance senior manager.
Responsibilities

Ensure technical quality, accuracy, thoroughness, efficiency, and adherence to deadlines during the delivery of the dashboards
Demonstrate a unique blend of industry knowledge and excellent customer service skills to consultatively support internal associates and business partners in the creation of dashboards and finance presentations.
Use information design and creative storytelling within a presentation format
Re-format quantitative data from reports or output for use in Power BI Dashboards
Proactive approach to problem-solving and collaboration with end-users
Proficient in proofing content and editing skills are a plus
Oversee the maintenance, organization & archival of all the Business Unit dashboards
Requirements
Excellent communication, time management and organizational skills
Exceptional attention to detail and an eye for visual consistency and formatting, with emphasis on accuracy, speed, and aesthetic quality
Strong design skills and focus on innovation
Proven graphic designing experience
Hands-on expertise with Power BI
Ability to work methodically and meet deadlines
Read, write, and speak French and English fluently
Gained valuable experience in macros & VB.
3 to 5 years of previous experience in a similar role
Explore our COVID-19 page https://jobs.adp.com/covid19/ to understand how ADP is approaching safety, travel, the hiring interview process, and more.

Diversity, Equity, Inclusion & Equal Employment Opportunity at ADP: ADP affirms that inequality is detrimental to our associates, our clients, and the communities we serve. Our goal is to impact lasting change through our actions. Together, we unite for equality and equity. ADP is committed to equal employment opportunities regardless of any protected characteristic, including race, color, genetic information, creed, national origin, religion, sex, affectional or sexual orientation, gender identity or expression, lawful alien status, ancestry, age, marital status, or protected veteran status and will not discriminate against anyone on the basis of a disability. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.

Ethics at ADP: ADP has a long, proud history of conducting business with the highest ethical standards and full compliance with all applicable laws. We also expect our people to uphold our values with the highest level of integrity and behave in a manner that fosters an honest and respectful workplace. Click https://jobs.adp.com/life-at-adp/ to learn more about ADP’s culture and our full set of values."
Senior Data Analyst,MASS Analytics,"Tunis, Tunisia",May,2022,"Job Title: Senior Data Analyst

Reports to: Marketing Analytics Director

Key interactions: Research & Development Department and Sales Department.

Job Purpose/Role Description:

A Senior Marketing Analyst at MASS Analytics is responsible for project management, project delivery and client relationship maintenance. The main focus is to ensure excellent delivery of various data analytics projects (e.g. Marketing Mix Modelling projects, segmentation…), technical demos & training for clients and work closely with the R&D and Business Development teams to ensure the continuous technical and commercial development of our portfolio of products.

Key Responsibilities:
Mirror and assist the Marketing team Manager in delivering Data Analytics projects end to end: from kick-off, data collection, data preparation & processing, modelling to results and recommendations.
Prepare project reports and present back to the client where need be
Provide Demos, Training, Help Desk services & all needed support to clients.
Build and maintain ongoing relationships with clients and actively contribute to renewals
Pitch clients and prepare customized proposals covering both the commercial & technical parts
Work closely with the R&D department to test, propose new features and contribute new ideas to enhance the developments of our products.
Actively support the Business Development teams (Marketing & Sales) in client acquisition, conversion and renewal.

Qualifications & Experiences:
BSc/MSc in a quantitative field like Mathematics, Engineering, Statistics, Economics or Business Analytics.
+ 3-year experience in a similar domain.

Key Attributes/Main Competencies:
Understanding of data mining, machine learning, and statistical models including linear & logistic regression, clustering, etc…
Experience in a Marketing related field is a major plus
Excel skills are required.
Experience with common data science toolkits (R, Python, Eviews, etc…).
Excellent communication and teamwork skills.
Demonstrated analytical and problem-solving skills.
fluent in written and spoken English."
BioAI Software Engineer,InstaDeep Ltd,"Tunis, Tunisia",May,2022,"ABOUT INSTADEEP
InstaDeep Ltd is a leading company that develops cutting-edge artificial intelligence products and solutions for major global and local clients in Europe, the US, Africa, and the Middle East. We focus on developing enterprise decision making systems that solve existing problems across a range of industries using advanced machine learning, reinforcement learning, and deep learning. Our expertise spans research, product and solution development, allowing the whole end-to-end solution to be developed in-house across our teams in London, Paris, Lagos, Cape Town, Dubai, and Tunis.
Our proactive approach to research, combined with a broad spectrum of high-quality clients, ensures a challenging and exciting environment to work and thrive in. In our mission to stay ahead of the curve, we are proud to partner with firms such as BioNTech SE, Google DeepMind, Nvidia and Intel, and world-class universities such as Oxford, Imperial College and French Universities.

JOB DESCRIPTION
At BioAI, we advance healthcare and push the boundaries of medical science through a combination of expertise in biology and machine learning. We launched a portfolio of initiatives across drug discovery and design, protein engineering, etc. In Dec. 2020, InstaDeep released DeepChain, an AI-powered, cloud-native, GPU-accelerated platform for protein design. Its core functionalities are built on a proven optimization framework leveraging state of the art search algorithms and protein language models. Another key research area is the development of next-generation vaccines and biopharmaceuticals for the treatment of cancer and prevention and therapy of infectious diseases, including COVID-19.
In collaboration with research engineers and computational biologists from the BioAI team, you will be contributing to the development of new approaches in molecular modelling, protein interactions, protein designs and other related domains, by applying your technical skills. You will be responsible for writing high-quality, maintainable, well documented, tested and modular software libraries. You will understand the underlying bioinformatics problems and collaborate with a multi-functional team to ensure continuous improvement and maintenance of the existing libraries in terms of code quality, test coverage and documentation to deliver proof of concepts, minimum viable products, and commercial deployment of the solutions.
Keywords: Software Engineering, High-Performance Computing, Machine Learning, Deep Learning, Computational Biology, Protein Design, Protein Engineering
RESPONSIBILITIES
Design, implement and deliver performant and scalable protein design libraries.
Perform computationally intensive tasks with large and complex data using distributed computing systems (CPUs, GPUs, TPUs, Cloud, etc.).
Write and maintain high-quality, maintainable and modular code with concise documentation and tests together with researchers and engineers.

REQUIREMENTS
Master, PhD degree or equivalent experience in computer science, physics, engineering or related scientific field.
Strong software engineering experience (Python, Object-Oriented Programming, Unit Testing, Profiling) via previous work or contributions to open source projects.
Proficient experience in parallel and high-performance computing.
Experience with DevOps and cloud technologies GCP, Docker, Kubernetes.
Relevant experience in machine learning, deep learning (Pytorch, JAX), and Bioinformatics is a plus.
Excellent communication skills and collaboration with researchers and developers.
Appropriate work permit for the considered location.

BENEFITS:
Competitive compensation package.
Working in small, diverse teams where you can make an impact.
Varied challenges across industries.
Cooperation across European and African offices.
Annual offsite events."
Senior DevOps Engineer,Infor,Tunisia,May,2022,"Sr Development Operations Engineer
Tunisia

About Infor

Infor delivers end-to-end ERP and strategic edge applications that are integrated and delivered in a multi-tenant cloud. We believe that customers need industry-specific solutions, and that one size does not fit all.

We are proud to serve more than 68,000 companies worldwide. Infor is a standalone subsidiary of Koch Industries, Inc., which has annual revenues of over $110 billion.

For more information visit www.infor.com


Position Summary

DevOps Engineer who’s ready to help us improve our customer experience by building functional systems that bring our business to new heights. You’ll need to have strong experience in Cloud Technologies, such as Amazon Web Services, because you’ll be creating automation to build cloud services to support custom Java applications—which means you’ll need to be fluent in Java, too. As a DevOps Engineer, you’ll also be working in conjunction with like-minded departments such as software engineering to deploy these new products and manage our infrastructure, associated processes, and systems. It’ll help for you to be detail-oriented and a skilled problem solver because you’ll also be helping us to streamline our processes—and automating them where applicable.

For your career, you will be working with stunning colleagues, in an environment where state-of-the-art machine learning algorithms and optimization methods are used to solve complex challenges at a very large scale for customers all over the world, with big impact on global economies and future innovation. You will have the opportunity to work in a collaborative, blame-free environment on the cutting edge, business centric, cloud systems and deployment tools to effectively use the cloud to solve challenging scalability, availability, and durability problems


Your Responsibilities Include

Design, build, deploy, and maintain reliable complex Linux based software systems at
and data networks connections, handle data replication and ensure data resiliency of web-based applications
Focus on efficiency, automation, and reducing costs - taking manual and repetitive tasks and automating them
Work with development teams on the entire lifecycle of applications, from defining metrics, to measure performance, through readiness testing and on to production
Develop and maintain tools and processes to improve our ability to rapidly deploy, scale and effectively monitor custom applications in a large-scale cloud-based environment
Use data driven decisions to optimize existing systems and manage service level objectives
Review performance of software applications to Identify and remove bottlenecks, determine operating costs, productivity levels, and optimize resources to match workloads
Create, use, and maintain resource documentation for reference and troubleshooting problems
This position operates in a 24x7x365 environment. Participate in the rotating ""on call"" schedule with other members of the tea to provide high-pace technical support and troubleshooting on production linux systems
Scripting in shell, Python and Linux System administration.
Hands-on experience in AWS services and AWS DevOps tools (EC2, S3, RDS etc.)


Knowledge and Skills, You Bring to the Organization

Basic Qualifications

Bachelor’s Degree in Computer Science, Information Technology, Software Engineering
Strong commercial experience in a DevOps position, preferably within a vendor/software house
3+ years’ experience with System administration, troubleshooting software integration issues in Linux environments
Understanding of High Availability and Scalability techniques and its benefits to customers
Experience troubleshooting complex server infrastructure and network environments.
Experience with server configuration automation tools and automating processes.
Experience administering a production-state system and interacting directly with customers.
Ability to work as part of a team in building, administering, and deploying automated systems.
Excellent written and oral communication skills, particularly in documenting and teaching installation and configuration processes.
Experience of cloud technologies such as AWS, Azure, or Google Cloud.
Proven understanding of software systems design and lifecycle
Commercial programming experience and proficiency with enterprise, web-based software technologies

Preferred Qualifications

Experience with Terraform, Docker, Chef, Puppet and other software deployment or orchestration tools
Strong understanding of System level security
Experience with any industry standard monitoring solution
A general understanding of networking concepts such as TCP/IP, VLANs, and related protocols.
Experience and passion for delivering training & mentoring to other team members
Experience and understanding of Financial, HR and Workforce management systems

Personal Attributes & Soft Skills

A passion for technology and its capabilities
Comfortable working in a distributed and multi-cultural teams
Excellent communication skills both written and verbal English; Ability to communicate with technical and non-technical individuals and translate when needed
Strong seasoning in critical incident triage and response; Excellent analytical, problem solving and debugging skills; Troubleshooting skills that span systems, including application’s coding language
Organization and multitasking skills are critical; Function well in a fast-paced, rapidly changing environment
Ability to work independently in a team environment with minimal supervision, take initiative, set priorities, follow through and see tasks through to completion
Ability to absorb new implementations, techniques, technology, and other information quickly; Ability to work in agile development methodology
Proven leadership abilities

Our Values

Our Guiding Principles set the standard for how we work with one another. They define who we are as an organization and guide everything we do. By applying the same shared values that unleash prosperity in free societies—such as value creation, integrity, responsibility, free speech, and toleration—we encourage one another to take initiative and to challenge the status quo.

We have a relentless commitment to a culture based on a business philosophy called Market Based Management® (MBM®). Informed by the principles that allow a free and open society to flourish, MBM® prepares individuals to innovate, improve, and transform while fostering a healthy, growing organization that creates long-term value for its clients and supporters and fulfillment for its employees.

Infor does not discriminate in employment opportunities or practices on the basis of race, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, marital status, age or individuals with disabilities.

At Infor we value your privacy that’s why we created a policy that you can read here.
The information above is not complete and may change once joining Infor in future but this is a guide of the overall role. Please find further information here: http://www.infor.com/"
Freelance Data Scientist,Toptal,"Sfax Governorate, Tunisia",May,2022,"Design your lifestyle as a top freelance data scientist, with the freedom to work however, wherever, on your terms.

Freelance work is defining the careers of today's data scientists in exciting new ways. If you're passionate about working flexibly with leading Fortune 500 brands and innovative Silicon Valley startups, Toptal could be a great fit for your next career shift.

Toptal is an elite talent network for the world's top 3% of developers, connecting the best and brightest freelancers with top organizations. Unlike a 9-to-5 job, you'll choose your own schedule and work from anywhere. Jobs come to you, so you won't bid for projects against other data scientists in a race to the bottom. Plus, Toptal takes care of all the overhead, empowering you to focus on successful engagements while getting paid on time, at the rate you decide, every time.

As a freelance data scientist, you could join an ever-expanding community of experts in over 120 countries, working remotely on the projects that meet your career ambitions.

That's why the world's top 3% of developers choose Toptal. Data Scientists in our elite network share:
At least 3 years of professional experience in Data Science
Project management skills
A keen attention to detail
Full-time availability is a strong advantage
If you're ready for a career shift to impactful freelance work, take the next step by clicking apply and filling out the short form.

#RemoteJobsDataScience"
Lead Data Scientist - Tunis,Jumia Group,"Tunis, Tunis, Tunisia",May,2022,"About Jumia:

Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia's mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.

Our platforms consist of our marketplace, which connects sellers with consumers, our logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our payment service, which facilitates transactions among participants active on our platform in selected markets. Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery.

With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs, new skills, and empowering a new generation.

On the Data science part, Jumia is heavily accelerating. With tons of data already gathered and usable, our intent is really to spread its use to be everyday more data-driven.

We are looking for talented people with a passion for Africa to join our team and embark on our exciting journey!

What's this job all about?

A key element to help Jumia grow is to use an unprecedented amount of data available to make smart decisions.

Data Science team is an agile and international team spread across different countries. Data Scientists are working closely with Big Data engineers, business stakeholders and Product owners. Data Science team is involved in various projects (to name a few) -
Delivery route optimisation
Product image similarity
Product/Restaurant recommendations
User segmentations
User search queries segmentation
Fraud detection
Loan default prediction

To take us to the next level, we are looking for a proactive Lead Data Scientist with hands-on experience with either of the said areas.

The ideal candidate would be able to design and implement data science models, to mentor Jumia's data-scientist and to help the company reach everyday a higher level in term of data maturity

Main Responsibilities
Being responsible for all the data science projects of one of our verticals.
Handle communication with business stakeholders.
Lead/Mentor data scientists involved in the projects.
Owns business KPIs attached to the projects.
Develop end-to-end understanding of the business.
Build models considering the business problem behind.
Designing, implementing, and analyzing AB tests.
Working closely with Big Data engineers & ML engineers to deploy the models into production and ensure scalability.

Requirements
PhD or Master degree (with 5+ years of experience) in data science or similar field - Very comfortable using pandas, numpy, scikit-learn, xgboost and matplotlib
Proven experience in one or more programming languages (Python, R, etc.) - Advanced SQL
Knowledge of applied statistics (fit regression curves, build predictive models, statistical significance)
Experience with A/B testing
Good communication skills
Nice to have: experience in NLP, Deep Learning related libs (e.g. TensorFlow, Keras, PyTorch), PySpark, Solver

We Offer
A unique experience in an entrepreneurial, yet structured environment
A unique opportunity of having strong impact in building the African ecommerce sector
The opportunity to become part of a highly professional and dynamic team
An unparalleled personal and professional growth as our longer-term objective is to train the next generation of leaders"
"Research Assistant, Tunisia and Algeria",Human Rights Watch,"Tunis, Tunis, Tunisia",April,2022,"FIXED-TERM, FULL-TIME JOB VACANCY

Research Assistant

Middle East and North Africa Division

Tunis Office

Application Deadline: May 22, 2022

The Middle East and Northern Africa (MENA) Division of Human Rights Watch (HRW) is seeking a Research Assistant to support in the monitoring and reporting on human rights violations in Tunisia and Algeria. This is a one year fixed-term vacancy with the possibility of extension. The successful candidate will be based in Tunis and will report to the Tunisia/Algeria Researcher in the Division.

Due to COVID-19, many of our global offices are operating in reduced capacities. The successful candidate may be required to work remotely as local mandates necessitate. We recognize that this moment, during the pandemic, is a uniquely difficult time for most people, particularly those with caregiving responsibilities, and we aim to be as flexible and supportive as possible in both the recruitment for and onboarding of this position.

Essential Responsibilities
Provide research, advocacy assistance and administrative support to the Researcher on Tunisia and Algeria, and occasionally on other countries in North Africa under the supervision of other researchers;
Develop and maintain contacts with local actors and activists, including using pre-existing networks among local rights activists and organizations to expand HRW’s monitoring capabilities and access to information; facilitate meetings with NGOs, government officials, and individuals able to provide information regarding human rights abuses;
Assist the Algeria/Tunisia Researcher in monitoring human rights conditions and documenting abuses by collecting and analyzing information from a wide variety of sources including governments, local media, NGOs, victims, witnesses, and journalists; advise the Researcher on local media advocacy;
Assist the Researcher in following up on specific cases of human rights violations; assist in follow-up with authorities and with NGOs on strategic cases on which HRW is advocating for justice;
Under the guidance of the Researcher, provide written analyses and write-ups of interviews, and, when appropriate, first drafts of briefing papers, letters, news releases, submissions to international bodies, etc.;
Assist the Researcher in preparing reports for discussion with governmental officials, NGO, IGO and other external partners;
Be a full partner with the Researcher in managing local logistical issues, such as finding drivers, fixers, translators;
Advise the Researcher on security issues, particularly in regard to field missions;
As appropriate, translate short documents from English to Arabic and from Arabic to English;
Proofread translations of documents by other translators, for ensuring that all HRW documents in Arabic are polished, accurate, and up to HRW standards;
Provide administrative support such as scheduling meetings, making travel arrangements, taking minutes, processing expenses, creating agenda, preparing background materials, conducting follow-up to meetings, and providing written updates;
Travel to the field, including to insecure areas, with the Researcher and independently, to conduct research; travel internationally as appropriate to attend specific trainings or planning sessions;
Operate in compliance with organizational regulations and rules, including the policies of applicable employee agreements;
Perform other tasks, as may be required.
Other: Applicants must possess valid work authorization in Tunisia.

Duration: This is a one-year initial fixed-term contract, with the possibility of extension.

Qualifications

Education: A bachelor’s degree, or equivalent working experience, in international relations, law, journalism, social sciences or studies relating to the country relevant to the function is required.

Experience: A minimum of one (1) year of experience working in an office environment or assisting in field research is required. A background in human rights, legal, political science, development, or journalism is strongly preferred.

Related Skills And Knowledge
Ability to multi-task effectively, including having good planning and organizing skills and ability to work under pressure are required.
Strong interpersonal skills in order to work collaboratively within HRW as well as with external partners are required.
Knowledge of the broader political and socioeconomic situation in Tunisia and Algeria is highly desirable.
Demonstrated knowledge of and commitment to human rights issues are required.
Excellent oral and written communication skills in Arabic, English, and French are required.
Strong initiative and follow-through, the capacity to think creatively and strategically, and excellent writing and editing skills are required.
Ability to make sound decisions consistent with functions is required.
Experience working for an international human rights organization in a support function is highly desirable.
A considerable network of contacts (lawyers, activists, journalists) in Tunisia and/or Algeria is desirable.
Salary and Benefits: HRW seeks exceptional applicants and offers competitive compensation and employer-paid benefits.

How to Apply: Please apply immediately or by May 22,, 2022, by visiting our online job portal at careers.hrw.org and attach a cover letter and resume/CV. No calls or email inquiries, please. Only complete applications will be reviewed, and only shortlisted candidates will be contacted.

If you have difficulty completing your application submission, or if you require a disability-related accommodation to submit your application, please reach out to recruitment@hrw.org.

Human Rights Watch is strong because it is diverse. We actively seek a diverse applicant pool and encourage candidates of all backgrounds to apply. Human Rights Watch does not discriminate on the basis of disability, age, gender identity and expression, national origin, race and ethnicity, religious beliefs, sexual orientation, or criminal record. We welcome all kinds of diversity. Our employees include people who are parents and nonparents, the self-taught and university educated, and from a wide span of socio-economic backgrounds and perspectives on the world. Human Rights Watch is an equal opportunity employer.

Human Rights Watch is an international human rights monitoring and advocacy organization known for its in-depth investigations, its incisive and timely reporting, its innovative and high-profile advocacy campaigns, and its success in changing the human rights-related policies and practices of influential governments and international institutions."
